Started 00050010-1004A200
    { 0x280DDB5C, 0x28175E40 }, // size 623332 (608 kB)
    { 0x283A739C, 0x284D2AA8 }, // size 1226508 (1197 kB)
    { 0x288EEC30, 0x28B06E98 }, // size 2196072 (2144 kB)
    { 0x28B06EC4, 0x28B930C4 }, // size 573952 (560 kB)
    { 0x28DC6E84, 0x28E14288 }, // size 316420 (309 kB)
    { 0x28E21ED4, 0x28EC8298 }, // size 680900 (664 kB)
    { 0x28EDDC7C, 0x28F7C2A8 }, // size 648748 (633 kB)
    { 0x28F89EF4, 0x290302B8 }, // size 680900 (664 kB)
    { 0x29030800, 0x293F69A0 }, // size 3957152 (3864 kB)
    { 0x2970200C, 0x298B9C58 }, // size 1801292 (1759 kB)
    { 0x29F17658, 0x29F6765C }, // size 327684 (320 kB)
    { 0x29F6779C, 0x29FB77A0 }, // size 327684 (320 kB)
    { 0x29FB78E0, 0x2A0078E4 }, // size 327684 (320 kB)
    { 0x2A007A24, 0x2A057A28 }, // size 327684 (320 kB)
    { 0x2A057B68, 0x2A1B957C }, // size 1448468 (1414 kB)
    { 0x2ABBCC4C, 0x2ACB958C }, // size 1034560 (1010 kB)
    { 0x2B80345C, 0x2B8CB464 }, // size 819208 (800 kB)
    { 0x2B8EE00C, 0x2B9BA938 }, // size 837932 (818 kB)
    { 0x2CB56370, 0x2D1EF6B8 }, // size 6918984 (6756 kB)
    { 0x2D3B966C, 0x2D8943C4 }, // size 5090648 (4971 kB)
    { 0x2D8AD3D8, 0x2E000000 }, // size 7679016 (7499 kB)
    { 0x2E609EFC, 0x2FF82B00 }, // size 26708996 (26083 kB)
    { 0x30984674, 0x31E2000C }, // size 21608856 (21102 kB)

Started 00050010-10040200
    { 0x280DDB5C, 0x28175E40 }, // size 623332 (608 kB)
    { 0x283A739C, 0x284D2AA8 }, // size 1226508 (1197 kB)
    { 0x288EEC30, 0x28B06E98 }, // size 2196072 (2144 kB)
    { 0x28B06EC4, 0x28B930C4 }, // size 573952 (560 kB)
    { 0x28DC6E84, 0x28E14288 }, // size 316420 (309 kB)
    { 0x28E21ED4, 0x28EC8298 }, // size 680900 (664 kB)
    { 0x28EDDC7C, 0x28F7C2A8 }, // size 648748 (633 kB)
    { 0x28F89EF4, 0x290302B8 }, // size 680900 (664 kB)
    { 0x29030800, 0x293F69A0 }, // size 3957152 (3864 kB)
    { 0x2970200C, 0x298B9C58 }, // size 1801292 (1759 kB)
    { 0x29F17658, 0x29F6765C }, // size 327684 (320 kB)
    { 0x29F6779C, 0x29FB77A0 }, // size 327684 (320 kB)
    { 0x29FB78E0, 0x2A0078E4 }, // size 327684 (320 kB)
    { 0x2A007A24, 0x2A057A28 }, // size 327684 (320 kB)
    { 0x2A057B68, 0x2A1B957C }, // size 1448468 (1414 kB)
    { 0x2ABBCC4C, 0x2ACB958C }, // size 1034560 (1010 kB)
    { 0x2B80345C, 0x2B8CB464 }, // size 819208 (800 kB)
    { 0x2B8EE00C, 0x2B9BA938 }, // size 837932 (818 kB)
    { 0x2CB56370, 0x2D1EF6B8 }, // size 6918984 (6756 kB)
    { 0x2D3B966C, 0x2D8943C4 }, // size 5090648 (4971 kB)
    { 0x2D8AD3D8, 0x2E000000 }, // size 7679016 (7499 kB)
    { 0x2E609EFC, 0x2FF82B00 }, // size 26708996 (26083 kB)
    { 0x30984674, 0x31E2000C }, // size 21608856 (21102 kB)

Started 00050000-10184E00
    { 0x280DDB5C, 0x28175E40 }, // size 623332 (608 kB)
    { 0x283A739C, 0x284D2AA8 }, // size 1226508 (1197 kB)
    { 0x288EEC30, 0x28B06E98 }, // size 2196072 (2144 kB)
    { 0x28B06EC4, 0x28B930C4 }, // size 573952 (560 kB)
    { 0x28DC6E84, 0x28E14288 }, // size 316420 (309 kB)
    { 0x28E21ED4, 0x28EC8298 }, // size 680900 (664 kB)
    { 0x28EDDC7C, 0x28F7C2A8 }, // size 648748 (633 kB)
    { 0x28F89EF4, 0x290302B8 }, // size 680900 (664 kB)
    { 0x29030800, 0x293F69A0 }, // size 3957152 (3864 kB)
    { 0x2970200C, 0x298B9C58 }, // size 1801292 (1759 kB)
    { 0x29F17658, 0x29F6765C }, // size 327684 (320 kB)
    { 0x29F6779C, 0x29FB77A0 }, // size 327684 (320 kB)
    { 0x29FB78E0, 0x2A0078E4 }, // size 327684 (320 kB)
    { 0x2A007A24, 0x2A057A28 }, // size 327684 (320 kB)
    { 0x2A057B68, 0x2A1B957C }, // size 1448468 (1414 kB)
    { 0x2ABBCC4C, 0x2ACB958C }, // size 1034560 (1010 kB)
    { 0x2B80345C, 0x2B8CB464 }, // size 819208 (800 kB)
    { 0x2B8EE00C, 0x2B9BA938 }, // size 837932 (818 kB)
    { 0x2CB56370, 0x2D1EF6B8 }, // size 6918984 (6756 kB)
    { 0x2D3B966C, 0x2D8943C4 }, // size 5090648 (4971 kB)
    { 0x2D8AD3D8, 0x2E000000 }, // size 7679016 (7499 kB)
    { 0x2E609EFC, 0x2FF82B00 }, // size 26708996 (26083 kB)
    { 0x30984674, 0x31E2000C }, // size 21608856 (21102 kB)

Started 00050010-10040200
    { 0x280DDB5C, 0x28175E40 }, // size 623332 (608 kB)
    { 0x283A739C, 0x284D2AA8 }, // size 1226508 (1197 kB)
    { 0x288EEC30, 0x28B06E98 }, // size 2196072 (2144 kB)
    { 0x28B06EC4, 0x28B930C4 }, // size 573952 (560 kB)
    { 0x28DC8094, 0x28E14288 }, // size 311796 (304 kB)
    { 0x28E21ED4, 0x28EC8298 }, // size 680900 (664 kB)
    { 0x28EDDC7C, 0x28F7C2A8 }, // size 648748 (633 kB)
    { 0x28F89EF4, 0x290302B8 }, // size 680900 (664 kB)
    { 0x29030800, 0x293F69A0 }, // size 3957152 (3864 kB)
    { 0x2970200C, 0x298B9C58 }, // size 1801292 (1759 kB)
    { 0x29F17658, 0x29F6765C }, // size 327684 (320 kB)
    { 0x29F6779C, 0x29FB77A0 }, // size 327684 (320 kB)
    { 0x29FB78E0, 0x2A0078E4 }, // size 327684 (320 kB)
    { 0x2A007A24, 0x2A057A28 }, // size 327684 (320 kB)
    { 0x2A057B68, 0x2A1B957C }, // size 1448468 (1414 kB)
    { 0x2ABBCC4C, 0x2ACB958C }, // size 1034560 (1010 kB)
    { 0x2B80345C, 0x2B8CB464 }, // size 819208 (800 kB)
    { 0x2B8EE00C, 0x2B9BA938 }, // size 837932 (818 kB)
    { 0x2CB56370, 0x2D1EF6B8 }, // size 6918984 (6756 kB)
    { 0x2D3B966C, 0x2D8943C4 }, // size 5090648 (4971 kB)
    { 0x2D8AD3D8, 0x2E000000 }, // size 7679016 (7499 kB)
    { 0x2E609EFC, 0x2FF82B00 }, // size 26708996 (26083 kB)
    { 0x30984674, 0x31E2000C }, // size 21608856 (21102 kB)

Started 00050000-10145000
    { 0x280DDB5C, 0x28175E40 }, // size 623332 (608 kB)
    { 0x283A739C, 0x284D2AA8 }, // size 1226508 (1197 kB)
    { 0x288EEC30, 0x28B06E98 }, // size 2196072 (2144 kB)
    { 0x28B06EC4, 0x28B930C4 }, // size 573952 (560 kB)
    { 0x28DC8094, 0x28E14288 }, // size 311796 (304 kB)
    { 0x28E21ED4, 0x28EC8298 }, // size 680900 (664 kB)
    { 0x28EDDC7C, 0x28F7C2A8 }, // size 648748 (633 kB)
    { 0x28F89EF4, 0x290302B8 }, // size 680900 (664 kB)
    { 0x29030800, 0x293F69A0 }, // size 3957152 (3864 kB)
    { 0x2970200C, 0x298B9C58 }, // size 1801292 (1759 kB)
    { 0x29F17658, 0x29F6765C }, // size 327684 (320 kB)
    { 0x29F6779C, 0x29FB77A0 }, // size 327684 (320 kB)
    { 0x29FB78E0, 0x2A0078E4 }, // size 327684 (320 kB)
    { 0x2A007A24, 0x2A057A28 }, // size 327684 (320 kB)
    { 0x2A057B68, 0x2A1B957C }, // size 1448468 (1414 kB)
    { 0x2ABBCC4C, 0x2ACB958C }, // size 1034560 (1010 kB)
    { 0x2B80345C, 0x2B8CB464 }, // size 819208 (800 kB)
    { 0x2B8EE00C, 0x2B9BA938 }, // size 837932 (818 kB)
    { 0x2CB56370, 0x2D1EF6B8 }, // size 6918984 (6756 kB)
    { 0x2D3B966C, 0x2D8943C4 }, // size 5090648 (4971 kB)
    { 0x2D8AD3D8, 0x2E000000 }, // size 7679016 (7499 kB)
    { 0x2E609EFC, 0x2FF82B00 }, // size 26708996 (26083 kB)
    { 0x30984674, 0x31E2000C }, // size 21608856 (21102 kB)

